Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness;ProkatType;NormName
С355-К (16-40 мм);340;-340000;340000;340000;460000;206000000;0.001650;0.000990;-0.025000;0.001650;0.000000;0.001650;0.000990;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С355-К (40-50 мм);330;-330000;330000;330000;460000;206000000;0.001602;0.000961;-0.025000;0.001602;0.000000;0.001602;0.000961;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С355П (8-16 мм);350;-350000;350000;350000;460000;206000000;0.001699;0.001019;-0.025000;0.001699;0.000000;0.001699;0.001019;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С355П (16-40 мм);340;-340000;340000;340000;460000;206000000;0.001650;0.000990;-0.025000;0.001650;0.000000;0.001650;0.000990;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С390 (8-50 мм);380;-380000;380000;380000;505000;206000000;0.001845;0.001107;-0.025000;0.001845;0.000000;0.001845;0.001107;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С390-1 (8-50 мм);380;-380000;380000;380000;505000;206000000;0.001845;0.001107;-0.025000;0.001845;0.000000;0.001845;0.001107;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С440 (8-50 мм);430;-430000;430000;430000;525000;206000000;0.002087;0.001252;-0.025000;0.002087;0.000000;0.002087;0.001252;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С550 (8-50 мм);525;-525000;525000;525000;625000;206000000;0.002549;0.001529;-0.025000;0.002549;0.000000;0.002549;0.001529;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С590 (8-50 мм);575;-575000;575000;575000;670000;206000000;0.002791;0.001675;-0.025000;0.002791;0.000000;0.002791;0.001675;0.025000;4;1;0;Листовой, широкополосный универсальный и заготовки для гнутых профилей;ГОСТ 27772-2015
С245 (4-20 мм);240;-240000;240000;240000;360000;206000000;0.001165;0.000699;-0.025000;0.001165;0.000000;0.001165;0.000699;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С245 (20-40 мм);230;-230000;230000;230000;360000;206000000;0.001117;0.000670;-0.025000;0.001117;0.000000;0.001117;0.000670;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С255 (4-10 мм);250;-250000;250000;250000;370000;206000000;0.001214;0.000728;-0.025000;0.001214;0.000000;0.001214;0.000728;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С255 (10-20 мм);240;-240000;240000;240000;360000;206000000;0.001165;0.000699;-0.025000;0.001165;0.000000;0.001165;0.000699;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С255 (20-40 мм);230;-230000;230000;230000;360000;206000000;0.001117;0.000670;-0.025000;0.001117;0.000000;0.001117;0.000670;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С345 (4-10 мм);340;-340000;340000;340000;470000;206000000;0.001650;0.000990;-0.025000;0.001650;0.000000;0.001650;0.000990;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С345 (10-20 мм);320;-320000;320000;320000;460000;206000000;0.001553;0.000932;-0.025000;0.001553;0.000000;0.001553;0.000932;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С345 (20-40 мм);300;-300000;300000;300000;450000;206000000;0.001456;0.000874;-0.025000;0.001456;0.000000;0.001456;0.000874;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С345К (4-10 мм);340;-340000;340000;340000;470000;206000000;0.001650;0.000990;-0.025000;0.001650;0.000000;0.001650;0.000990;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С355 (8-16 мм);350;-350000;350000;350000;460000;206000000;0.001699;0.001019;-0.025000;0.001699;0.000000;0.001699;0.001019;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С355 (16-40 мм);340;-340000;340000;340000;470000;206000000;0.001650;0.000990;-0.025000;0.001650;0.000000;0.001650;0.000990;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С355-1 (8-16 мм);350;-350000;350000;350000;470000;206000000;0.001699;0.001019;-0.025000;0.001699;0.000000;0.001699;0.001019;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С355-1 (16-40 мм);340;-340000;340000;340000;470000;206000000;0.001650;0.000990;-0.025000;0.001650;0.000000;0.001650;0.000990;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С390 (8-10 мм);380;-380000;380000;380000;505000;206000000;0.001845;0.001107;-0.025000;0.001845;0.000000;0.001845;0.001107;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С390 (10-20 мм);370;-370000;370000;370000;480000;206000000;0.001796;0.001078;-0.025000;0.001796;0.000000;0.001796;0.001078;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
С390 (20-40 мм);360;-360000;360000;360000;480000;206000000;0.001748;0.001049;-0.025000;0.001748;0.000000;0.001748;0.001049;0.025000;4;1;0;Фасонный прокат;ГОСТ 27772-2015
